package,dependency,type
tcltk2,apt-get install -y tk-table,apt-get
openNLPdata,apt-get install -y default-jdk,apt-get
openNLPdata,R CMD javareconf,R CMD
cit,apt-get install -y libgsl0-dev,apt-get
Myrrixjars,apt-get install -y default-jdk,apt-get
Myrrixjars,R CMD javareconf,R CMD
RSurvey,apt-get install -y tcl,apt-get
RSurvey,apt-get install -y tk,apt-get
RSurvey,apt-get install -y tk-dev,apt-get
RSurvey,apt-get install -y tk-table,apt-get
h2o4gpu,apt-get install -y python,apt-get
monoreg,apt-get install -y libgsl0-dev,apt-get
slowraker,apt-get install -y default-jdk,apt-get
slowraker,R CMD javareconf,R CMD
specklestar,apt-get install -y libfftw3-dev,apt-get
BayesXsrc,apt-get install -y make,apt-get
rGroovy,apt-get install -y default-jdk,apt-get
rGroovy,R CMD javareconf,R CMD
Myrrix,apt-get install -y default-jdk,apt-get
Myrrix,R CMD javareconf,R CMD
mutossGUI,apt-get install -y default-jdk,apt-get
mutossGUI,R CMD javareconf,R CMD
geno2proteo,apt-get install -y perl,apt-get
bartMachineJARs,apt-get install -y default-jdk,apt-get
bartMachineJARs,R CMD javareconf,R CMD
corehunter,apt-get install -y default-jdk,apt-get
corehunter,R CMD javareconf,R CMD
fuzzywuzzyR,apt-get install -y python,apt-get
RH2,apt-get install -y default-jdk,apt-get
RH2,R CMD javareconf,R CMD
lira,apt-get install -y jags,apt-get
Rbgs,apt-get install -y default-jdk,apt-get
Rbgs,R CMD javareconf,R CMD
RcppMeCab,apt-get install -y make,apt-get
designmatch,apt-get install -y libglpk-dev,apt-get
mvst,apt-get install -y libgsl0-dev,apt-get
redux,apt-get install -y libhiredis-dev,apt-get
TAQMNGR,apt-get install -y zlib1g-dev,apt-get
RMOA,apt-get install -y default-jdk,apt-get
RMOA,R CMD javareconf,R CMD
idm,apt-get install -y imagemagick,apt-get
idm,apt-get install -y libmagick++-dev,apt-get
Libra,apt-get install -y libgsl0-dev,apt-get
pander,apt-get install -y pandoc,apt-get
rtkore,apt-get install -y make,apt-get
ChoR,apt-get install -y default-jdk,apt-get
ChoR,R CMD javareconf,R CMD
rhli,apt-get install -y make,apt-get
genotypeR,apt-get install -y perl,apt-get
gcForest,apt-get install -y python,apt-get
qualpalr,apt-get install -y make,apt-get
GreedyExperimentalDesignJARs,apt-get install -y default-jdk,apt-get
GreedyExperimentalDesignJARs,R CMD javareconf,R CMD
gifski,apt-get install -y rustc,apt-get
gifski,apt-get install -y cargo,apt-get
rpanel,apt-get install -y bwidget,apt-get
tabulizer,apt-get install -y default-jdk,apt-get
tabulizer,R CMD javareconf,R CMD
ADMMsigma,apt-get install -y make,apt-get
SCPME,apt-get install -y make,apt-get
rJPSGCS,apt-get install -y default-jdk,apt-get
rJPSGCS,apt-get install -y zlib1g-dev,apt-get
rJPSGCS,R CMD javareconf,R CMD
libstableR,apt-get install -y libgsl0-dev,apt-get
expands,apt-get install -y default-jdk,apt-get
expands,R CMD javareconf,R CMD
CommonJavaJars,apt-get install -y default-jdk,apt-get
CommonJavaJars,R CMD javareconf,R CMD
beanz,apt-get install -y make,apt-get
readbitmap,apt-get install -y libjpeg-dev,apt-get
readbitmap,apt-get install -y libpng-dev,apt-get
blandr,apt-get install -y pandoc,apt-get
keyring,apt-get install -y libsecret-1-dev,apt-get
DeLorean,apt-get install -y make,apt-get
pysd2r,apt-get install -y python3,apt-get
RMOAjars,apt-get install -y default-jdk,apt-get
RMOAjars,R CMD javareconf,R CMD
tabulizerjars,apt-get install -y default-jdk,apt-get
tabulizerjars,R CMD javareconf,R CMD
BALD,apt-get install -y make,apt-get
BALD,apt-get install -y jags,apt-get
rmatio,apt-get install -y zlib1g-dev,apt-get
kmcudaR,apt-get install -y nvidia-cuda-dev,apt-get
dclone,apt-get install -y jags,apt-get
ssMousetrack,apt-get install -y make,apt-get
sequenza,apt-get install -y pandoc,apt-get
deisotoper,apt-get install -y default-jdk,apt-get
deisotoper,R CMD javareconf,R CMD
rstap,apt-get install -y make,apt-get
rTRNG,apt-get install -y make,apt-get
Rlda,apt-get install -y make,apt-get
bmlm,apt-get install -y make,apt-get
RPyGeo,apt-get install -y python,apt-get
fRLR,apt-get install -y libgsl0-dev,apt-get
ruta,apt-get install -y python,apt-get
RGF,apt-get install -y python,apt-get
rchie,apt-get install -y libv8-dev,apt-get
exifr,apt-get install -y perl,apt-get
Rserve,apt-get install -y make,apt-get
jarbes,apt-get install -y jags,apt-get
Rglpk,apt-get install -y libglpk-dev,apt-get
metaMix,apt-get install -y libopenmpi-dev,apt-get
MADPop,apt-get install -y make,apt-get
dfpk,apt-get install -y make,apt-get
r.blip,apt-get install -y default-jdk,apt-get
r.blip,R CMD javareconf,R CMD
Rlibeemd,apt-get install -y libgsl0-dev,apt-get
NestedCategBayesImpute,apt-get install -y make,apt-get
CPAT,apt-get install -y make,apt-get
aphid,apt-get install -y make,apt-get
excerptr,apt-get install -y python,apt-get
Scalelink,apt-get install -y make,apt-get
RGtk2,apt-get install -y libatk1.0-dev,apt-get
RGtk2,apt-get install -y libcairo2-dev,apt-get
RGtk2,apt-get install -y libglib2.0-dev,apt-get
RGtk2,apt-get install -y libgtk2.0-dev,apt-get
RGtk2,apt-get install -y libpango1.0-dev,apt-get
RSAGA,apt-get install -y saga,apt-get
gsl,apt-get install -y libgsl0-dev,apt-get
cogmapr,apt-get install -y libcurl4-openssl-dev,apt-get
cogmapr,apt-get install -y libssl-dev,apt-get
mdendro,apt-get install -y default-jdk,apt-get
mdendro,R CMD javareconf,R CMD
PBSmodelling,apt-get install -y bwidget,apt-get
StMoSim,apt-get install -y make,apt-get
animation,apt-get install -y imagemagick,apt-get
animation,apt-get install -y libmagick++-dev,apt-get
animation,apt-get install -y texlive,apt-get
animation,apt-get install -y swftools,apt-get
rPref,apt-get install -y make,apt-get
textmineR,apt-get install -y make,apt-get
webp,apt-get install -y libwebp-dev,apt-get
elliptic,apt-get install -y pari-gp,apt-get
rcdd,apt-get install -y libgmp3-dev,apt-get
untb,apt-get install -y pari-gp,apt-get
blockcluster,apt-get install -y make,apt-get
represtools,apt-get install -y make,apt-get
igate,apt-get install -y pandoc,apt-get
bamdit,apt-get install -y jags,apt-get
tesseract,apt-get install -y libleptonica-dev,apt-get
tesseract,apt-get install -y libtesseract-dev,apt-get
rjags,apt-get install -y jags,apt-get
otsad,apt-get install -y python,apt-get
otsad,apt-get install -y python3,apt-get
visit,apt-get install -y make,apt-get
reprex,apt-get install -y pandoc,apt-get
coga,apt-get install -y libgsl0-dev,apt-get
LeafArea,apt-get install -y imagej,apt-get
LeafArea,apt-get install -y default-jdk,apt-get
LeafArea,R CMD javareconf,R CMD
BioMedR,apt-get install -y default-jdk,apt-get
BioMedR,R CMD javareconf,R CMD
PReMiuM,apt-get install -y make,apt-get
MixAll,apt-get install -y make,apt-get
Rlgt,apt-get install -y make,apt-get
Rhpc,apt-get install -y libopenmpi-dev,apt-get
cloudml,apt-get install -y python,apt-get
biplotbootGUI,apt-get install -y bwidget,apt-get
biplotbootGUI,apt-get install -y tcl,apt-get
biplotbootGUI,apt-get install -y tk,apt-get
biplotbootGUI,apt-get install -y tk-dev,apt-get
jpeg,apt-get install -y libjpeg-dev,apt-get
scModels,apt-get install -y libgmp3-dev,apt-get
scModels,apt-get install -y libmpfr-dev,apt-get
mwaved,apt-get install -y libfftw3-dev,apt-get
OpenStreetMap,apt-get install -y default-jdk,apt-get
OpenStreetMap,R CMD javareconf,R CMD
ncdf4,apt-get install -y libnetcdf-dev,apt-get
rCBA,apt-get install -y default-jdk,apt-get
rCBA,R CMD javareconf,R CMD
jSDM,apt-get install -y libgsl0-dev,apt-get
libsoc,apt-get install -y libxml2-dev,apt-get
openNLP,apt-get install -y default-jdk,apt-get
openNLP,R CMD javareconf,R CMD
RWekajars,apt-get install -y default-jdk,apt-get
RWekajars,R CMD javareconf,R CMD
greta,apt-get install -y python,apt-get
HierDpart,apt-get install -y make,apt-get
ggExtra,apt-get install -y pandoc,apt-get
jagsUI,apt-get install -y jags,apt-get
RKEAjars,apt-get install -y default-jdk,apt-get
RKEAjars,R CMD javareconf,R CMD
pcaL1,apt-get install -y coinor-libclp-dev,apt-get
nbconvertR,apt-get install -y pandoc,apt-get
nbconvertR,apt-get install -y python,apt-get
rmcfs,apt-get install -y default-jdk,apt-get
rmcfs,R CMD javareconf,R CMD
fftw,apt-get install -y libfftw3-dev,apt-get
tiler,apt-get install -y libgdal-dev,apt-get
tiler,apt-get install -y gdal-bin,apt-get
tiler,apt-get install -y python,apt-get
rcdk,apt-get install -y default-jdk,apt-get
rcdk,R CMD javareconf,R CMD
BayesVarSel,apt-get install -y libgsl0-dev,apt-get
pm4py,apt-get install -y python,apt-get
fsdaR,apt-get install -y default-jdk,apt-get
fsdaR,R CMD javareconf,R CMD
protolite,apt-get install -y libprotobuf-dev,apt-get
protolite,apt-get install -y protobuf-compiler,apt-get
RcppRedis,apt-get install -y libhiredis-dev,apt-get
clusternor,apt-get install -y make,apt-get
Thermimage,apt-get install -y libimage-exiftool-perl,apt-get
Thermimage,apt-get install -y imagemagick,apt-get
Thermimage,apt-get install -y libmagick++-dev,apt-get
Thermimage,apt-get install -y perl,apt-get
dynr,apt-get install -y make,apt-get
YPPE,apt-get install -y make,apt-get
pbdPROF,apt-get install -y libopenmpi-dev,apt-get
dtwclust,apt-get install -y make,apt-get
